,FECHA,MUNICIPIO RESIDENCIA,CASOS
155,2020-03-23,Gustavo A. Madero,8
156,2020-03-23,Iztacalco,2
157,2020-03-23,Iztapalapa,8
158,2020-03-23,La Magdalena Contreras,4
159,2020-03-23,Miguel Hidalgo,4
160,2020-03-23,Tlalpan,3
161,2020-03-23,Tláhuac,1
162,2020-03-23,Venustiano Carranza,5
163,2020-03-23,Xochimilco,5
164,2020-03-23,Álvaro Obregón,1
165,2020-03-24,Azcapotzalco,8
166,2020-03-24,Benito Juárez,5
167,2020-03-24,Cuajimalpa de Morelos,21
168,2020-03-24,Cuauhtémoc,2
169,2020-03-24,Gustavo A. Madero,9
170,2020-03-24,Iztacalco,6
171,2020-03-24,Iztapalapa,9
172,2020-03-24,La Magdalena Contreras,10
173,2020-03-24,Miguel Hidalgo,4
174,2020-03-24,Tlalpan,3
175,2020-03-24,Venustiano Carranza,2
176,2020-03-24,Xochimilco,3
177,2020-03-24,Álvaro Obregón,2
178,2020-03-25,Azcapotzalco,4
179,2020-03-25,Benito Juárez,2
180,2020-03-25,Coyoacán,3
181,2020-03-25,Cuajimalpa de Morelos,10
182,2020-03-25,Cuauhtémoc,2
183,2020-03-25,Gustavo A. Madero,8
184,2020-03-25,Iztacalco,7
185,2020-03-25,Iztapalapa,3
186,2020-03-25,La Magdalena Contreras,6
187,2020-03-25,Miguel Hidalgo,3
188,2020-03-25,Milpa Alta,1
189,2020-03-25,Tlalpan,4
190,2020-03-25,Venustiano Carranza,1
191,2020-03-25,Xochimilco,2
192,2020-03-25,Álvaro Obregón,3
193,2020-03-26,Azcapotzalco,8
194,2020-03-26,Benito Juárez,4
195,2020-03-26,Coyoacán,7
196,2020-03-26,Cuajimalpa de Morelos,14
197,2020-03-26,Cuauhtémoc,6
198,2020-03-26,Gustavo A. Madero,9
199,2020-03-26,Iztacalco,8
200,2020-03-26,Iztapalapa,5
201,2020-03-26,La Magdalena Contreras,2
202,2020-03-26,Miguel Hidalgo,7
203,2020-03-26,Milpa Alta,3
