,FECHA,MUNICIPIO RESIDENCIA,ACUMULADO,CASOS
105,2020-02-27,Miguel Hidalgo,1.0,1.0
106,2020-02-27,Cuauhtémoc,0.0,0.0
107,2020-02-27,Tláhuac,0.0,0.0
108,2020-02-27,Benito Juárez,0.0,0.0
109,2020-02-27,Azcapotzalco,0.0,0.0
110,2020-02-27,Iztapalapa,1.0,1.0
111,2020-02-27,Tlalpan,0.0,0.0
112,2020-02-28,Álvaro Obregón,0.0,0.0
113,2020-02-28,Cuauhtémoc,0.0,0.0
114,2020-02-28,Miguel Hidalgo,1.0,0.0
115,2020-02-28,Gustavo A. Madero,1.0,0.0
116,2020-02-28,Xochimilco,0.0,0.0
117,2020-02-28,Azcapotzalco,0.0,0.0
118,2020-02-28,Venustiano Carranza,0.0,0.0
119,2020-02-28,La Magdalena Contreras,0.0,0.0
120,2020-02-28,Milpa Alta,0.0,0.0
121,2020-02-28,Iztacalco,1.0,0.0
122,2020-02-28,Cuajimalpa de Morelos,1.0,0.0
123,2020-02-28,Coyoacán,0.0,0.0
124,2020-02-28,Benito Juárez,0.0,0.0
125,2020-02-28,Iztapalapa,1.0,0.0
126,2020-02-28,Tlalpan,0.0,0.0
127,2020-02-28,Tláhuac,0.0,0.0
128,2020-02-29,Iztapalapa,1.0,0.0
129,2020-02-29,Benito Juárez,0.0,0.0
130,2020-02-29,Coyoacán,0.0,0.0
131,2020-02-29,Cuajimalpa de Morelos,1.0,0.0
132,2020-02-29,Iztacalco,1.0,0.0
133,2020-02-29,Milpa Alta,0.0,0.0
134,2020-02-29,La Magdalena Contreras,0.0,0.0
135,2020-02-29,Venustiano Carranza,0.0,0.0
136,2020-02-29,Azcapotzalco,0.0,0.0
137,2020-02-29,Xochimilco,0.0,0.0
138,2020-02-29,Gustavo A. Madero,1.0,0.0
139,2020-02-29,Miguel Hidalgo,1.0,0.0
140,2020-02-29,Cuauhtémoc,0.0,0.0
141,2020-02-29,Tláhuac,0.0,0.0
142,2020-02-29,Álvaro Obregón,0.0,0.0
143,2020-02-29,Tlalpan,0.0,0.0
144,2020-03-02,Gustavo A. Madero,1.0,0.0
145,2020-03-02,Xochimilco,0.0,0.0
146,2020-03-02,Azcapotzalco,0.0,0.0
147,2020-03-02,Venustiano Carranza,0.0,0.0
148,2020-03-02,La Magdalena Contreras,0.0,0.0
149,2020-03-02,Milpa Alta,0.0,0.0
150,2020-03-02,Iztacalco,1.0,0.0
151,2020-03-02,Tláhuac,0.0,0.0
152,2020-03-02,Cuajimalpa de Morelos,1.0,0.0
153,2020-03-02,Coyoacán,1.0,1.0
154,2020-03-02,Benito Juárez,0.0,0.0
155,2020-03-02,Iztapalapa,1.0,0.0
156,2020-03-02,Tlalpan,0.0,0.0
157,2020-03-02,Álvaro Obregón,0.0,0.0
158,2020-03-02,Miguel Hidalgo,1.0,0.0
159,2020-03-02,Cuauhtémoc,0.0,0.0
160,2020-03-04,Tláhuac,0.0,0.0
161,2020-03-04,Álvaro Obregón,0.0,0.0
162,2020-03-04,Iztapalapa,1.0,0.0
163,2020-03-04,Benito Juárez,0.0,0.0
164,2020-03-04,Coyoacán,1.0,0.0
165,2020-03-04,Cuajimalpa de Morelos,1.0,0.0
166,2020-03-04,Iztacalco,1.0,0.0
167,2020-03-04,Venustiano Carranza,0.0,0.0
168,2020-03-04,Azcapotzalco,0.0,0.0
169,2020-03-04,Xochimilco,0.0,0.0
170,2020-03-04,Gustavo A. Madero,1.0,0.0
171,2020-03-04,Miguel Hidalgo,1.0,0.0
172,2020-03-04,Cuauhtémoc,0.0,0.0
173,2020-03-04,Tlalpan,0.0,0.0
174,2020-03-04,Milpa Alta,0.0,0.0
175,2020-03-04,La Magdalena Contreras,0.0,0.0
176,2020-03-05,Cuauhtémoc,0.0,0.0
177,2020-03-05,Iztapalapa,1.0,0.0
178,2020-03-05,Benito Juárez,0.0,0.0
179,2020-03-05,Coyoacán,1.0,0.0
180,2020-03-05,Cuajimalpa de Morelos,1.0,0.0
181,2020-03-05,Iztacalco,1.0,0.0
182,2020-03-05,Milpa Alta,0.0,0.0
183,2020-03-05,La Magdalena Contreras,0.0,0.0
184,2020-03-05,Venustiano Carranza,0.0,0.0
185,2020-03-05,Azcapotzalco,0.0,0.0
186,2020-03-05,Xochimilco,0.0,0.0
187,2020-03-05,Gustavo A. Madero,1.0,0.0
188,2020-03-05,Miguel Hidalgo,1.0,0.0
189,2020-03-05,Tlalpan,0.0,0.0
190,2020-03-05,Tláhuac,0.0,0.0
191,2020-03-05,Álvaro Obregón,1.0,1.0
192,2020-03-07,Tlalpan,0.0,0.0
193,2020-03-07,Miguel Hidalgo,2.0,1.0
194,2020-03-07,Gustavo A. Madero,1.0,0.0
195,2020-03-07,Xochimilco,0.0,0.0
196,2020-03-07,Azcapotzalco,0.0,0.0
197,2020-03-07,Venustiano Carranza,0.0,0.0
198,2020-03-07,La Magdalena Contreras,0.0,0.0
199,2020-03-07,Milpa Alta,0.0,0.0
200,2020-03-07,Iztacalco,1.0,0.0
201,2020-03-07,Cuajimalpa de Morelos,1.0,0.0
202,2020-03-07,Coyoacán,1.0,0.0
203,2020-03-07,Benito Juárez,0.0,0.0
204,2020-03-07,Iztapalapa,1.0,0.0
205,2020-03-07,Cuauhtémoc,0.0,0.0
206,2020-03-07,Álvaro Obregón,1.0,0.0
